Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time,Protein_to_Carbs_ratio,Carbs_to_Fat_ratio
paleo,Paleo Donuts recipes,american,56.41,169.52,179.66,2022-10-16,17:29:40,0.3327630957999056,0.9435600578871202
paleo,Paleo cauliflower crunch,nordic,58.01,44.33,67.81,2022-10-16,17:29:40,1.3085946311752763,0.6537383866686329
paleo,Paleo Coconut Walnut Squash,american,5.98,54.41,30.59,2022-10-16,17:29:40,0.10990626723028857,1.778685845047401
paleo,Paleo Rolls recipes,french,50.08,227.02,94.75,2022-10-16,17:29:40,0.22059730420227291,2.39598944591029
paleo,Paleo Hamburg and Squash,mediterranean,83.33,27.42,105.06,2022-10-16,17:29:40,3.0390226112326766,0.26099371787549974
paleo,Day 3 - Paleo Restart,american,18.67,124.0,91.33,2022-10-16,17:29:40,0.15056451612903227,1.3577137851746415
paleo,Instant Pot Sweet Potato Casserole,south american,39.73,349.82,167.44,2022-10-16,17:29:47,0.11357269452861471,2.0892259913999043
paleo,Paleo Chili recipes,american,341.92,141.14,392.34,2022-10-16,17:29:47,2.422559161116622,0.3597390018861192
paleo,Paleo Pumpkin Pie,american,81.77,300.44,215.51,2022-10-16,17:29:47,0.27216748768472904,1.3940884413716301
paleo,Paleo Orange Beef,mediterranean,219.95,316.31,165.19,2022-10-16,17:29:47,0.6953621447314343,1.914825352624251
paleo,"Seared Scallops with Sweet Corn Purée, Crumbled Bacon, and Tomato Chive Salsa",south american,48.76,94.38,52.89,2022-10-16,17:29:47,0.5166348802712439,1.784458309699376
paleo,Paleo Antipasto Salad,italian,72.54,69.05,38.89,2022-10-16,17:29:47,1.0505430847212167,1.7755206994085881
paleo,Thai Mango Sweet Potato Salad,south east asian,7.93,75.25,27.61,2022-10-16,17:29:47,0.10538205980066445,2.7254617892068094
paleo,Pork Steaks recipes,french,464.85,89.22,445.73,2022-10-16,17:29:47,5.210154673839947,0.20016601978776388
paleo,Oven Pork Steaks,mediterranean,464.85,89.22,445.73,2022-10-16,17:29:47,5.210154673839947,0.20016601978776388
paleo,{Paleo} Beef Rendang,american,225.77,131.53,157.67,2022-10-16,17:29:47,1.7164905344788262,0.8342106932200165
paleo,Paleo Steak and Veggies,american,24.48,13.2,13.09,2022-10-16,17:29:47,1.8545454545454547,1.0084033613445378
paleo,Creamy Whole30 Potato Salad recipes,italian,68.76,203.71,207.16,2022-10-16,17:29:47,0.33753865789602866,0.9833462058312417
paleo,Paleo Beef Chili,american,115.08,137.47,81.33,2022-10-16,17:29:47,0.8371281006765112,1.6902741915652282
paleo,Sesame Pineapple Sausage Bites,chinese,5.68,124.15,18.27,2022-10-16,17:29:54,0.04575110753121224,6.795292829775589
paleo,Paleo Shepherd’s Pie,american,183.04,127.54,299.75,2022-10-16,17:29:54,1.435157597616434,0.425487906588824
paleo,Whole 30 Zucchini Noodle Bake,asian,60.53,42.02,75.73,2022-10-16,17:29:54,1.4405045216563541,0.5548659712135218
paleo,The Best Paleo Buckeyes,american,13.78,186.0,111.81,2022-10-16,17:29:54,0.07408602150537634,1.663536356318755
paleo,Gluten Free Chicken Marsala recipes,italian,265.87,68.02,60.11,2022-10-16,17:29:54,3.9087033225521908,1.131592081184495
paleo,Creole Apple Turkey Burgers,american,119.33,32.54,45.24,2022-10-16,17:29:54,3.667178856791641,0.7192749778956675
paleo,Smoky and Sweet Broccoli Chicken Salad recipes,american,85.42,84.28,124.61,2022-10-16,17:29:54,1.0135263407688657,0.6763502126635101
paleo,Slow-cooked Pork Roast recipes,american,298.94,44.15,117.59,2022-10-16,17:29:54,6.771007927519819,0.37545709669189553
paleo,Creamy Cashew Thai Chicken with Cilantro Lime Cauliflower Rice,south east asian,151.09,115.62,95.11,2022-10-16,17:29:54,1.3067808337657845,1.2156450425822731
paleo,Paleo Meat Pockets from The Paleo Kids Cookbook recipes,american,88.91,182.92,186.11,2022-10-16,17:29:54,0.4860594795539034,0.9828595991617859
paleo,Paleo Eggrolls recipes,french,29.26,76.21,188.09,2022-10-16,17:29:54,0.38393911560162713,0.40517837205593066
paleo,Italian Primal Pizza with Free-Range Chicken,italian,62.29,93.97,67.14,2022-10-16,17:29:54,0.6628711290837501,1.3996127494787012
paleo,Paleo Swedish Meatballs,nordic,123.49,48.93,150.26,2022-10-16,17:29:54,2.5238095238095237,0.3256355650206309
paleo,Slow Cooker Red Pepper Paprika Chicken recipes,mediterranean,195.64,60.83,39.2,2022-10-16,17:29:54,3.2161762288344566,1.551785714285714
paleo,Paleo Orange Chicken,french,234.69,98.07,97.05,2022-10-16,17:29:54,2.3930865708167635,1.0105100463678516
paleo,Paleo Apple Meatloaf,american,175.03,199.06,191.3,2022-10-16,17:29:54,0.8792826283532603,1.0405645582854155
paleo,Instant Pot Chicken Soup with Mushrooms and Kale,french,271.76,95.75,240.31,2022-10-16,17:30:01,2.8382245430809396,0.39844367691731514
paleo,Paleo Cassava Flour Tortillas,mexican,0.0,124.8,51.1,2022-10-16,17:30:01,0.0,2.4422700587084147
paleo,Paleo Shepherd's Pie,american,103.98,191.55,131.64,2022-10-16,17:30:01,0.5428347689898199,1.45510483135825
paleo,Healthy Turkey Meatloaf,american,105.48,55.14,41.85,2022-10-16,17:30:01,1.912948857453754,1.3175627240143368
paleo,Grass-Fed Bison Stuffed Peppers,american,170.1,79.27,107.66,2022-10-16,17:30:01,2.1458307051848116,0.7362994612669514
paleo,Easy Salmon Tacos recipes,nordic,118.62,105.19,115.07,2022-10-16,17:30:01,1.127673733244605,0.9141392196054576
paleo,"Paleo Shrimp Creole (Paleo, gluten-free roux) recipes",american,198.22,83.15,113.4,2022-10-16,17:30:01,2.3838845460012026,0.7332451499118166
paleo,Paleo Carrot Cake,french,120.47,462.74,758.62,2022-10-16,17:30:01,0.2603405800233392,0.6099760090690992
paleo,Beef Stroganoff recipes,eastern europe,109.57,33.41,183.38,2022-10-16,17:30:01,3.27955701885663,0.18218998800305375
paleo,The Perfect Paleo Meatballs,french,91.01,61.2,101.35,2022-10-16,17:30:01,1.487091503267974,0.6038480513073509
paleo,"Roasted Garlic Turnip Puree with Chorizo - Low Carb, Gluten Free",french,124.04,80.89,326.42,2022-10-16,17:30:01,1.533440474718754,0.24780957049200417
paleo,Paleo Pad Thai,south east asian,132.06,82.17,223.93,2022-10-16,17:30:01,1.6071558963125228,0.36694502746393964
paleo,Brussels Sprout & Kale Slaw recipes,central europe,38.53,163.13,124.5,2022-10-16,17:30:07,0.23619199411512293,1.310281124497992
paleo,Spaghetti Carbonara-Paleo Style,italian,45.08,47.92,167.43,2022-10-16,17:30:07,0.9407345575959932,0.28620916203786656
paleo,Paleo Chocolate Protein Truffles,american,29.5,12.09,17.69,2022-10-16,17:30:07,2.4400330851943757,0.6834369700395703
paleo,Paleo Pizza Crust #1,italian,31.08,121.36,58.78,2022-10-16,17:30:07,0.25609756097560976,2.064647839401157
paleo,Avocado Cucumber Salad recipes,mediterranean,15.8,81.26,74.48,2022-10-16,17:30:07,0.19443760767905488,1.091031149301826
paleo,Slow Cooker Pumpkin Salsa Shredded Beef,mexican,199.83,31.93,57.61,2022-10-16,17:30:07,6.258377701221423,0.5542440548515882
paleo,Najib's Special Lebanese Cauliflower recipes,mediterranean,17.38,56.94,27.53,2022-10-16,17:30:07,0.30523357920618194,2.068289139120959
paleo,PALEO HASH BROWNS recipes,south american,4.78,114.92,36.36,2022-10-16,17:30:07,0.04159415245388096,3.1606160616061607
paleo,Gluten Free Beef Bourguignon (Beef Burgundy) recipes,french,331.01,124.34,96.36,2022-10-16,17:30:07,2.6621360784944508,1.2903694479036945
paleo,Tomato Avocado Burgers (Low Carb and Gluten-Free) recipes,american,90.67,45.15,135.0,2022-10-16,17:30:07,2.0081949058693245,0.33444444444444443
paleo,Paleo Chocolate Protein Truffles,american,29.51,19.72,17.74,2022-10-16,17:30:07,1.496450304259635,1.1116121758737316
paleo,Stuffed Pork Tenderloin recipes,american,197.23,51.76,48.64,2022-10-16,17:30:07,3.8104714064914993,1.0641447368421053
paleo,Easy Paleo Chicken Fajitas,mexican,55.21,41.5,49.55,2022-10-16,17:30:07,1.3303614457831325,0.8375378405650858
paleo,Paleo Prawn Cocktail recipes,american,69.5,10.88,82.21,2022-10-16,17:30:07,6.387867647058823,0.13234399708064715
paleo,Easy Lemon Curd (paleo),french,15.41,94.7,15.33,2022-10-16,17:30:07,0.16272439281942977,6.177429876060013
paleo,Grain Free Double Chocolate Banana Bread,american,73.61,224.75,186.62,2022-10-16,17:30:14,0.3275194660734149,1.2043189368770764
paleo,Clafoutis ~ The Paleo Mom,french,23.78,170.14,105.78,2022-10-16,17:30:14,0.1397672504995886,1.6084325959538663
paleo,Hawaiian Chicken Recipe,south east asian,153.03,132.16,79.17,2022-10-16,17:30:14,1.1579146489104117,1.6693191865605659
paleo,Creamy Artichoke Chicken recipes,mediterranean,294.34,167.48,152.06,2022-10-16,17:30:14,1.7574635777406258,1.101407339208207
paleo,Fluffy Paleo Cauliflower Mash,american,16.37,41.77,25.39,2022-10-16,17:30:14,0.3919080679913814,1.645135880267822
paleo,Paleo Shepard's Pie,american,187.09,160.46,263.51,2022-10-16,17:30:14,1.1659603639536333,0.6089332473150925
paleo,Paleo Coconut Lemon Cake,american,29.46,120.26,73.21,2022-10-16,17:30:14,0.24496923332778978,1.6426717661521653
paleo,"Best Keto & Paleo Tortillas, Taco Shells & Nachos recipes",mexican,57.32,98.71,161.51,2022-10-16,17:30:14,0.5806909127747949,0.6111695870224754
paleo,Homemade Paleo Protein Bars,american,88.19,289.27,122.03,2022-10-16,17:30:14,0.30487088187506484,2.370482668196345
paleo,Paleo Spaghetti Squash Primavera,italian,16.53,88.52,32.47,2022-10-16,17:30:14,0.1867374604609128,2.726208808130582
paleo,"Easiest Paleo ""Ice Cream""",american,6.07,82.98,25.25,2022-10-16,17:30:14,0.07315015666425645,3.2863366336633666
paleo,Paleo Chocolate Chip Scones,american,37.98,145.35,114.58,2022-10-16,17:30:14,0.2613003095975232,1.268545994065282
paleo,Sriracha Ranch Cobb Salad recipes,american,117.7,21.91,154.52,2022-10-16,17:30:14,5.371976266544957,0.1417939425317111
paleo,Paleo Garlic Mashed Cauliflower,mediterranean,11.29,29.24,47.61,2022-10-16,17:30:14,0.38611491108071133,0.6141566897710565
paleo,Spiced Vanilla Pumpkin Milk Steamer,american,21.95,105.25,20.23,2022-10-16,17:30:14,0.20855106888361044,5.202669303015323
paleo,Delicious Paleo Chocolate Muffins,american,30.08,120.13,124.29,2022-10-16,17:30:14,0.25039540497794055,0.9665298897739157
paleo,Paleo Plantain Fries recipes,south american,4.65,114.17,29.32,2022-10-16,17:30:21,0.04072873784707016,3.8939290586630286
paleo,10 Paleo Lunch Ideas,italian,17.11,89.38,32.11,2022-10-16,17:30:21,0.1914298500783173,2.7835565244472127
paleo,Paleo Paella recipes,mediterranean,165.01,120.66,192.24,2022-10-16,17:30:21,1.367561743742748,0.627652933832709
paleo,Blueberry and macadamia yoghurt bark,french,24.89,74.19,67.42,2022-10-16,17:30:21,0.3354899582153929,1.1004153070305547
paleo,Baked Vanilla Paleo Donuts,american,40.41,91.57,140.95,2022-10-16,17:30:21,0.4413017363765425,0.6496630010642072
paleo,Paleo Cauliflower Rice recipes,mediterranean,16.4,43.41,29.44,2022-10-16,17:30:21,0.377793135222299,1.474524456521739
paleo,Homemade Paleo Chocolates recipes,french,12.69,108.27,172.4,2022-10-16,17:30:21,0.1172069825436409,0.6280162412993039
paleo,Chocolate Paleo Snack Cake,american,38.57,266.83,135.99,2022-10-16,17:30:21,0.1445489637596972,1.9621295683506137
paleo,Baked Keto Chicken Wings - Sweet & Spicy,south american,241.71,22.98,252.73,2022-10-16,17:30:21,10.518276762402088,0.09092707632651446
paleo,The Best Paleo Ketchup,italian,18.58,96.02,16.04,2022-10-16,17:30:21,0.19350135388460737,5.986284289276808
paleo,Paleo Power Baked Cauliflower,american,20.54,52.74,73.87,2022-10-16,17:30:21,0.3894577171027683,0.71395695140111
paleo,PALEO CHICKEN FINGERS recipes,italian,70.92,198.74,61.64,2022-10-16,17:30:21,0.3568481433028077,3.2242050616482802
paleo,Zucchini Noodles with Shrimp,asian,103.79,39.61,46.35,2022-10-16,17:30:21,2.6202979045695534,0.8545846817691477
paleo,Paleo Plantain Fries (Whole30),south american,4.65,114.17,29.32,2022-10-16,17:30:28,0.04072873784707016,3.8939290586630286
paleo,Paleo Peach Cobbler recipes,british,18.73,161.9,29.61,2022-10-16,17:30:28,0.1156886967263743,5.467747382641
paleo,Paleo Chick-fil-A,american,102.57,17.37,139.06,2022-10-16,17:30:28,5.905008635578583,0.12491011074356394
paleo,Bean-Free Paleo Chili,american,168.33,61.1,198.81,2022-10-16,17:30:28,2.7549918166939444,0.3073286052009456
paleo,Paleo Fried Plantains recipes,south american,4.76,116.26,14.96,2022-10-16,17:30:28,0.040942714605195246,7.771390374331551
paleo,Paleo Strawberry Creamsicles recipes,french,8.94,36.01,90.47,2022-10-16,17:30:28,0.24826437100805332,0.39803249696031834
paleo,Easy Paleo Cauliflower Rice,mediterranean,10.69,28.78,15.58,2022-10-16,17:30:28,0.37143849895760944,1.847240051347882
paleo,Pupusas - taco style Paleo,mexican,4.58,16.68,4.1,2022-10-16,17:30:28,0.2745803357314149,4.068292682926829
paleo,The Best Paleo Snickerdoodles,french,45.91,155.32,113.15,2022-10-16,17:30:28,0.2955833118722637,1.3726911179849757
paleo,One Pan Lemon Garlic Chicken and Asparagus recipes,british,100.0,121.41,109.85,2022-10-16,17:30:28,0.8236553825879253,1.1052344105598544
paleo,Paleo Banana Egg rolls,american,43.42,352.63,38.01,2022-10-16,17:30:28,0.12313189462042368,9.277295448566168
paleo,Garlic Shrimp with Zucchini Noodles,asian,128.54,498.9,42.12,2022-10-16,17:30:28,0.25764682301062336,11.844729344729345
paleo,Paleo BBQ Chicken recipes,american,149.29,40.41,145.3,2022-10-16,17:30:28,3.694382578569661,0.2781142463867859
paleo,Paleo Chicken Taco Burger,mexican,294.48,74.04,212.66,2022-10-16,17:30:28,3.977309562398703,0.348161384369416
paleo,Perfect Paleo Ice Cream,italian,24.81,74.45,123.19,2022-10-16,17:30:34,0.3332437877770315,0.604351002516438
paleo,Paleo Mushroom Leek Frittata,italian,87.05,26.49,73.66,2022-10-16,17:30:34,3.2861457153642886,0.3596253054575075
paleo,Paleo Sweet Potato Mousse,french,9.45,123.59,22.28,2022-10-16,17:30:34,0.07646249696577392,5.547127468581688
paleo,Paleo Apple Pie Nachos,nordic,14.47,124.98,69.95,2022-10-16,17:30:34,0.11577852456393023,1.7867047891350964
paleo,Paleo Mini Egg Cakes,american,43.83,13.43,72.69,2022-10-16,17:30:34,3.2635889798957556,0.18475718805888017
paleo,Quick Shrimp Scampi with Squash Noodles recipes,asian,108.12,51.58,79.72,2022-10-16,17:30:34,2.096161302830555,0.6470145509282489
paleo,Crab Stuffed Mushrooms recipes,american,32.53,14.87,64.25,2022-10-16,17:30:34,2.187626092804304,0.2314396887159533
paleo,Crab-Stuffed Avocados (Paleo),mediterranean,39.34,38.27,74.0,2022-10-16,17:30:34,1.0279592370002613,0.5171621621621622
paleo,Paleo Banana & Blueberry Muffins,american,60.55,303.43,137.4,2022-10-16,17:30:34,0.19955179118742378,2.2083697234352258
paleo,Paleo Avocado Tuna Salad,mexican,32.45,24.27,31.05,2022-10-16,17:30:34,1.3370416151627524,0.7816425120772946
paleo,Paleo Blueberry Bread Pudding,british,57.43,176.46,103.41,2022-10-16,17:30:34,0.32545619403830894,1.706411372207717
paleo,Paleo Pumpkin Caramels recipes,american,4.22,115.7,116.49,2022-10-16,17:30:34,0.03647363872082973,0.9932183020001718
paleo,Spiced Paleo Apple Dip,american,24.53,175.16,109.81,2022-10-16,17:30:41,0.14004338890157572,1.5951188416355522
paleo,Paleo Salted Caramel Dip,american,0.67,35.58,26.24,2022-10-16,17:30:41,0.018830803822372122,1.3559451219512195
paleo,Paleo Peppermint Ice Cream,italian,6.9,36.42,72.59,2022-10-16,17:30:41,0.18945634266886327,0.50172200027552
paleo,Greek Orange Salad with Fresh Mint recipes,mediterranean,5.97,96.51,59.3,2022-10-16,17:30:41,0.061858874728007454,1.627487352445194
paleo,Paleo Sweet Potato Casserole,italian,49.47,291.72,151.36,2022-10-16,17:30:41,0.16958041958041956,1.927325581395349
paleo,Vegan Paleo Chocolate Mousse,american,16.72,192.81,79.34,2022-10-16,17:30:41,0.08671749390591774,2.4301739349634484
paleo,Crispy Paleo Plantain Chips,south american,2.55,58.61,55.34,2022-10-16,17:30:48,0.04350793379969288,1.0590892663534512
paleo,Paleo Sweet Potato Waffles,american,23.49,39.24,18.88,2022-10-16,17:30:48,0.5986238532110091,2.078389830508475
paleo,Honey Roasted Carrots (Paleo),american,4.44,61.71,21.39,2022-10-16,17:30:48,0.07194944093339815,2.884992987377279
paleo,Paleo Gingerbread Mini Donuts,american,8.57,298.18,74.54,2022-10-16,17:30:48,0.028741028908712857,4.000268312315535
paleo,Homemade Paleo Nutella recipes,french,30.36,148.62,175.53,2022-10-16,17:30:48,0.2042793702058942,0.8466928730131602
paleo,'Croodité' Paleo Basil Dip,american,6.35,7.27,127.41,2022-10-16,17:30:48,0.8734525447042641,0.05705988540930853
paleo,Paleo Cumin Cauliflower Rice,indian,24.31,99.2,26.28,2022-10-16,17:30:48,0.2450604838709677,3.774733637747336
paleo,Cherry Garcia Paleo Milkshake with DIY Paleo Magic Hardshell recipes,american,5.57,59.44,21.59,2022-10-16,17:30:48,0.09370794078061911,2.7531264474293655
paleo,German Tomato Salad (Tomatensalat) recipes,central europe,7.25,38.69,42.06,2022-10-16,17:30:48,0.18738692168518997,0.9198763670946266
paleo,Low Carb Paleo Biscuits,american,61.56,45.53,181.46,2022-10-16,17:30:48,1.3520755545793983,0.25090929130386863
paleo,Paleo Pineapple & Beef Tacos,mexican,90.52,119.93,96.46,2022-10-16,17:30:48,0.7547736179438005,1.243313290483102
paleo,Paleo Bison Burger recipes,american,92.2,35.47,102.26,2022-10-16,17:30:55,2.5993797575415845,0.34686094269509093
paleo,(Nut-Free) Basil Pesto recipes,italian,30.12,22.06,103.28,2022-10-16,17:30:55,1.3653671804170446,0.2135941130906274
paleo,Crockpot Paleo Apple Butter,american,6.53,347.37,4.66,2022-10-16,17:30:55,0.018798399401214843,74.54291845493562
paleo,Gluten Free Easy Herbed Chicken and Biscuit Bake recipes,eastern europe,110.29,58.36,119.9,2022-10-16,17:30:55,1.8898217957505141,0.4867389491242702
paleo,Apricot Jalapeno Paleo Jam,british,18.08,213.75,5.09,2022-10-16,17:30:55,0.08458479532163742,41.99410609037328
paleo,Paleo Egg Drop Soup,chinese,56.95,69.25,60.75,2022-10-16,17:30:55,0.8223826714801444,1.139917695473251
paleo,Paleo Chocolate Almond Bark,french,34.16,153.55,57.23,2022-10-16,17:30:55,0.222468251383914,2.683033374104491
paleo,Paleo Berry Compote or Cobbler,french,17.31,63.01,53.15,2022-10-16,17:30:55,0.2747182986827488,1.1855126999059267
paleo,Paleo Lemon Curd recipes,french,19.67,103.25,96.17,2022-10-16,17:30:55,0.1905084745762712,1.0736196319018405
paleo,Paleo Candy Apple Wedges,french,7.85,80.52,52.89,2022-10-16,17:30:55,0.09749130650769995,1.5224049914917752
paleo,Paleo Cashew Cream Cheese,american,32.86,55.49,78.97,2022-10-16,17:30:55,0.5921787709497206,0.7026719007217931
paleo,Paleo 7-Layer Dip,mexican,133.18,76.45,179.73,2022-10-16,17:30:55,1.742053629823414,0.42536026261614646
paleo,Paleo Spaghetti Squash Noodles,asian,8.45,64.39,59.9,2022-10-16,17:30:55,0.1312315576952943,1.074958263772955
paleo,Paleo Pureed Cauliflower recipes,american,12.05,31.38,45.55,2022-10-16,17:31:04,0.38400254939451883,0.6889132821075741
paleo,Paleo Caramel Date Slice,french,83.93,245.88,331.29,2022-10-16,17:31:04,0.34134537172604523,0.7421896223852213
paleo,Paleo Baked Fries recipes,american,13.74,118.86,28.61,2022-10-16,17:31:04,0.11559818273599193,4.154491436560643
paleo,Paleo Cassava Flour Tortillas,mexican,0.0,224.64,81.0,2022-10-16,17:31:04,0.0,2.773333333333333
paleo,Sweet Potato Hash recipes,american,27.89,64.1,66.82,2022-10-16,17:31:04,0.43510140405616227,0.9592936246632745
paleo,Paleo Greek Roasted Lamb,mediterranean,115.42,15.53,1305.07,2022-10-16,17:31:04,7.432066967160336,0.011899744841272882
paleo,Paleo Curry Leeks recipes,indian,5.61,47.41,12.98,2022-10-16,17:31:04,0.1183294663573086,3.6525423728813555
paleo,Paleo Banana & Blueberry Muffins,american,64.16,260.81,146.33,2022-10-16,17:31:04,0.24600283731452013,1.782341283400533
paleo,Paleo Pecan Tart Crust,american,20.15,24.96,111.99,2022-10-16,17:31:04,0.8072916666666666,0.2228770425930887
paleo,Paleo Ginger Snaps recipes,italian,50.38,109.88,112.1,2022-10-16,17:31:04,0.4585001820167456,0.9801962533452275
paleo,Coconut-Crusted Tilapia - Paleo,mediterranean,118.32,42.58,75.47,2022-10-16,17:31:11,2.778769375293565,0.5641976944481251
paleo,"Amazing Paleo Pizza Crust - vegan, autoimmune paleo & cauliflower free recipes",italian,8.28,167.87,33.64,2022-10-16,17:31:11,0.04932388157502829,4.990190249702735
paleo,"Paleo Slow Cooker Apple Honey Chicken Drumsticks Recipe [Paleo, AIP]",american,181.88,94.85,92.71,2022-10-16,17:31:11,1.9175540326831841,1.023082731096969
paleo,Paleo Coconut Shrimp recipes,mediterranean,159.33,41.29,134.16,2022-10-16,17:31:11,3.8588035844030038,0.30776684555754324
paleo,Paleo Shepherd’s Pie,american,124.01,230.07,181.24,2022-10-16,17:31:11,0.5390098665623506,1.2694217612006178
paleo,"Paleo Apple Crisp (Paleo, GF, Vegan + Refined Sugar-Free) recipes",american,31.89,298.07,109.02,2022-10-16,17:31:11,0.10698829134096018,2.734085488901119
paleo,Paleo Peach Frangipane Muffins,french,60.35,140.67,201.48,2022-10-16,17:31:11,0.42901826970924867,0.6981834425253126
paleo,Paleo green bean recipe,american,15.37,18.31,35.08,2022-10-16,17:31:11,0.8394320043691972,0.5219498289623717
paleo,Paleo Mango Cake recipes,american,64.28,108.36,46.38,2022-10-16,17:31:11,0.5932078257659653,2.336351875808538
paleo,Paleo Sweet Potato Soup,american,27.29,156.45,7.57,2022-10-16,17:31:11,0.17443272611057847,20.667107001321003
paleo,Paleo Crispy Noodles recipes,asian,2.7,33.62,40.93,2022-10-16,17:31:11,0.08030933967876265,0.821402394331786
paleo,Herb Paleo Cauliflower Mash,french,29.89,99.19,552.98,2022-10-16,17:31:18,0.3013408609738885,0.1793735758978625
paleo,Decadent Paleo Custard recipes,american,30.45,51.96,106.8,2022-10-16,17:31:18,0.586027713625866,0.4865168539325843
paleo,Paleo Shepherd's Pie,american,197.56,123.66,253.41,2022-10-16,17:31:18,1.5976063399644187,0.48798389960932875
paleo,Paleo Berry Crumble Bars,french,3.4,206.17,1.6,2022-10-16,17:31:18,0.01649124508900422,128.85625
paleo,Paleo + Vegan Chocolate Frosting,american,24.97,280.27,162.7,2022-10-16,17:31:18,0.08909266064866023,1.722618315918869
paleo,Sunday Slow Cooker: Thai Curry Ground Beef recipes,south east asian,104.82,34.94,32.89,2022-10-16,17:31:18,3.0,1.0623289753724536
paleo,Paleo Chicken Nuggets recipes,american,211.64,47.69,100.54,2022-10-16,17:31:18,4.437827636821137,0.47433857171275107
paleo,Paleo Bacon-Wrapped Cauliflower,american,70.23,224.84,424.27,2022-10-16,17:31:18,0.3123554527664117,0.52994555353902
paleo,Green Eggs and Bacon,american,28.37,13.96,101.73,2022-10-16,17:31:18,2.0322349570200573,0.13722599036665684
paleo,Kitchen Sink Paleo Lunch,american,94.21,25.93,36.16,2022-10-16,17:31:18,3.633243347473968,0.7170907079646018
paleo,Herb Paleo Cauliflower Mash,french,29.89,99.19,552.98,2022-10-16,17:31:24,0.3013408609738885,0.1793735758978625
paleo,Decadent Paleo Custard recipes,american,30.45,51.96,106.8,2022-10-16,17:31:24,0.586027713625866,0.4865168539325843
paleo,Paleo Shepherd's Pie,american,197.56,123.66,253.41,2022-10-16,17:31:24,1.5976063399644187,0.48798389960932875
paleo,Paleo Berry Crumble Bars,french,3.4,206.17,1.6,2022-10-16,17:31:24,0.01649124508900422,128.85625
paleo,Paleo + Vegan Chocolate Frosting,american,24.97,280.27,162.7,2022-10-16,17:31:24,0.08909266064866023,1.722618315918869
paleo,Sunday Slow Cooker: Thai Curry Ground Beef recipes,south east asian,104.82,34.94,32.89,2022-10-16,17:31:24,3.0,1.0623289753724536
paleo,Paleo Chicken Nuggets recipes,american,211.64,47.69,100.54,2022-10-16,17:31:24,4.437827636821137,0.47433857171275107
paleo,Paleo Bacon-Wrapped Cauliflower,american,70.23,224.84,424.27,2022-10-16,17:31:24,0.3123554527664117,0.52994555353902
paleo,Green Eggs and Bacon,american,28.37,13.96,101.73,2022-10-16,17:31:24,2.0322349570200573,0.13722599036665684
paleo,Kitchen Sink Paleo Lunch,american,94.21,25.93,36.16,2022-10-16,17:31:24,3.633243347473968,0.7170907079646018
vegan,Spiked Vegan Eggnog,american,46.36,84.52,42.61,2022-10-16,20:02:29,0.5485092285849503,1.9835719314714855
vegan,Vegan Cucumber Tea Sandwiches,american,41.73,143.91,73.88,2022-10-16,20:02:29,0.28997289972899726,1.9478884677855983
vegan,Vegan Broccoli Soup Recipe,american,103.83,82.54,139.3,2022-10-16,20:02:29,1.2579355464017445,0.5925340990667624
vegan,Baked Vegan Mac and Cheese Recipe,american,140.19,524.38,221.29,2022-10-16,20:02:29,0.26734429230710555,2.3696506846219894
vegan,Vegan Nachos,american,73.05,266.38,166.64,2022-10-16,20:02:29,0.27423229972220137,1.5985357657225157
vegan,The Best Vegan Breakfast Sandwich,american,143.13,208.42,189.86,2022-10-16,20:02:29,0.6867383168601862,1.0977562414410618
vegan,{Vegan} Peanut Butter & Honey Muffins recipes,american,29.53,168.46,59.83,2022-10-16,20:02:29,0.17529383829989315,2.8156443255891697
vegan,Vegan Pots de Crème,american,45.25,106.45,98.01,2022-10-16,20:02:29,0.42508219821512444,1.0861136618712377
vegan,Vegan tiffin,american,60.38,272.18,287.22,2022-10-16,20:02:29,0.22183848923506502,0.9476359584987117
vegan,Vegan Stovetop Lasagna,american,124.77,512.21,147.15,2022-10-16,20:02:29,0.2435914956756018,3.4808698606863744
vegan,Vegan Italian Cold Cut Sandwich,american,54.22,143.1,81.73,2022-10-16,20:02:29,0.37889587700908456,1.7508870671723968
vegan,Vegan Chocolate Pie,american,71.19,428.01,248.98,2022-10-16,20:02:29,0.16632788953529123,1.7190537392561651
vegan,Vegan Mushroom Tea Sandwiches,american,36.74,127.18,60.04,2022-10-16,20:02:29,0.2888818996697594,2.118254497001999
vegan,Vegan Chicken Nuggets,american,119.69,80.59,33.4,2022-10-16,20:02:29,1.4851718575505646,2.4128742514970063
vegan,Creamy Vegan Butternut Squash Mac And Cheese,american,132.14,453.36,72.61,2022-10-16,20:02:35,0.2914681489324157,6.243768076022587
vegan,Vegan Candied Almonds,american,120.98,530.66,289.27,2022-10-16,20:02:35,0.2279802510081785,1.8344798976734538
vegan,Vegan Cinnamon Rolls Recipe,american,62.84,884.18,321.47,2022-10-16,20:02:35,0.07107150127802032,2.7504277226490803
vegan,"Classic American Fare, Now In Vegan! recipes",american,103.83,82.54,139.3,2022-10-16,20:02:35,1.2579355464017445,0.5925340990667624
vegan,Simple Vegan Tofu Lasagna,asian,129.45,317.99,86.68,2022-10-16,20:02:35,0.40708827321613883,3.668550992155053
vegan,Vegan Stroganoff recipes,american,52.69,40.66,37.09,2022-10-16,20:02:35,1.295868175110674,1.096252359126449
